sup_avg,inf_avg,inc_avg,lnd_avg,uhv_ss_avg,nuhv_avg,uhvd_avg,hv_ss_avg,nhv_avg,hvd_avg,bhv_avg,length_avg
0.7615371692078509,0.2278978172711026,0.03495525742348552,0.02439024390243903,0.00490095608429729,0.005399165702072625,0.0004982096177753351,0.0038210205650944743,0.003961907270990488,0.00014088670589601252,0.003961907270990488,25.05
0.7419398823148,0.23528297829812758,0.04716738328951146,0.02439024390243903,0.004488319563600792,0.004851387847725806,0.00036306828412501407,0.005543980002574438,0.005761944268924734,0.00021796426635029635,0.005761943708188475,26.91
0.7288595863631998,0.23412910687871402,0.06140155066052516,0.02439024390243903,0.004231982051657108,0.00458803777838643,0.00035605572672932123,0.004627513284174988,0.0048458468639994276,0.0002183335798244391,0.004845846334582276,21.64
0.7592719058958215,0.2221629463451782,0.042955391661439336,0.02439024390243903,0.005062480340349891,0.005684780767589707,0.0006223004272398158,0.004456823585665193,0.0046582034645559454,0.00020137987889075307,0.0046582034645559454,22.07
0.7467626099986299,0.22037483570702368,0.05725279819678552,0.02439024390243903,0.004944348049882588,0.005423064293101235,0.00047871624321864625,0.00506280666689098,0.005346549968418522,0.0002837433015275402,0.0053465499581995535,27.53
0.7689503413062998,0.22079017969738282,0.034649722898756584,0.02439024390243903,0.005401769639658024,0.0060030232092215426,0.0006012535695635187,0.004872067118252431,0.005178641452783467,0.0003065743345310355,0.005178639210293787,22.66
0.7446394627442071,0.24119943838386454,0.038551342774367524,0.02439024390243903,0.004773235412935439,0.0053790218475351145,0.0006057864345996755,0.0050629462518243995,0.005373276667046329,0.0003103304152219296,0.005373276664096105,27.51
0.7771828652011229,0.21376097446659795,0.033446404234718195,0.02439024390243903,0.0047122912638029165,0.005221094103519976,0.0005088028397170598,0.006009482579900953,0.006229712419463206,0.0002202298395622528,0.006229712419463206,29.48
0.7557691161158673,0.23424923677150716,0.03437189101506463,0.02439024390243903,0.004972606021051112,0.005615008859416557,0.0006424028383654454,0.004890892842639299,0.005134400327802653,0.00024350748516335427,0.005134400327802653,25.85
0.7518198083121181,0.230960868764573,0.04160956682574802,0.02439024390243903,0.004455299499051649,0.00491579230296108,0.00046049280390943176,0.004207097643035569,0.004510748601412624,0.00030365095837705435,0.004510748601412624,25.92
