Var1,NSGAII,ECNSGAII,PECNSGAII,SRNSGAII,DCMOEAD,ECMOEAD,PECMOEAD,SRCMOEAD,ANSGAIII,CTAEA,CMOEA_MS,ToP,CCMO,PPS,MOEADDAE
NSGAII_C1_DTLZ1_M2_D2_9.mat,0.998796492812177,0.998790456865493,0.998824553808816,0.998826250605996,0.999708735993275,0.999717257994213,0.998789757333323,0.998717539564836,0.998888416097667,0.999838047359115,0.999535735411454,0.55629742842381,0.999733075103083,0.997922963407456,0.99877365127737
NSGAII_C1_DTLZ3_M2_D2_9.mat,0.82438102860425,0.835524678387229,0.827292097686234,0.817925216304531,0.892729988880104,0.893889325022136,0.868326861456885,0.87113764670602,0.683429669340509,0.873726975999442,0.977029136242164,0.772786029365629,0.977390188232382,0.581646251201751,0.858443571604058
NSGAII_C2_DTLZ2_M2_D2_9.mat,0.600556122773011,0.602631358531615,0.592614405444284,0.585863020016903,0.907872640101566,0.907968860347636,0.736650963737391,0.716282352000808,0.753901748756797,0.870798023605142,0.936127462087432,0.506883117818883,0.939040417982019,0.367093898958149,0.716091841801167
NSGAII_C3_DTLZ4_M2_D2_9.mat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSGAII_DASCMOP1_10_M2_D2_9.mat,0.397234569300329,0.402001016208521,0.463274647460912,0.442385717632844,0.439123387661564,0.369532377130042,0.26800133459002,0.461450960681874,0.412435921615752,0.472746491203129,0.405183484855495,0.655787793265295,0.447472131475705,0.720681135787525,0.883591246078831
NSGAII_DASCMOP1_11_M2_D2_9.mat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSGAII_DASCMOP1_12_M2_D2_9.mat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSGAII_DASCMOP1_13_M2_D2_9.mat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSGAII_DASCMOP1_14_M2_D2_9.mat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSGAII_DASCMOP1_15_M2_D2_9.mat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSGAII_DASCMOP1_1_M2_D2_9.mat,0.969892284210918,0.970350824314216,0.796104461197237,0.963283126991962,0.890020047688605,0.856400996082168,0.342519530228155,0.928781780374438,0.965050918404047,0.857395897967403,0.939514508321903,0.97985330627521,0.956937033807663,0.916036316111492,0.945647719446441
NSGAII_DASCMOP1_2_M2_D2_9.mat,0.829444151117171,0.842723702078437,0.687374970124485,0.815819618705339,0.765861947441958,0.767737205969558,0.272158000652236,0.88104516455045,0.870862563340445,0.693754622828093,0.832617142635096,0.90633500269628,0.84758435122235,0.841677466459961,0.870133994380976
NSGAII_DASCMOP1_3_M2_D2_9.mat,0.929979217090135,0.942061620926028,0.838438929073508,0.915653565083683,0.874669637600851,0.829207807390806,0.493015128499928,0.89700383035948,0.95354242905748,0.86410926502176,0.940021775035141,0.944279142190485,0.962223967773997,0.95806732516062,0.930152231226181
NSGAII_DASCMOP1_4_M2_D2_9.mat,0.930271940667188,0.930027917120941,0.790520864935272,0.914205002687051,0.844727983758926,0.880272721274454,0.409369974445604,0.934783476672864,0.915506607424121,0.841670906567459,0.902718526902857,0.958058418560737,0.961823640247026,0.942132259820045,0.92511436050281
NSGAII_DASCMOP1_5_M2_D2_9.mat,0.905771295916188,0.8994184356983,0.775360800311501,0.912686071740062,0.880699638282657,0.889801429127362,0.419193871408748,0.90745178411182,0.925549392734168,0.800299489576055,0.869992050571816,0.934338732514442,0.934381335645919,0.923207866698483,0.906025362416799
NSGAII_DASCMOP1_6_M2_D2_9.mat,0.451296880593777,0.44760621207938,0.406887101813052,0.453307029415659,0.451269402639099,0.469446034364598,0.217910451727648,0.474107678559054,0.463914332887313,0.566430993281038,0.467119880467973,0.749800568508299,0.438205720168093,0.946438304839816,0.485714366712701
NSGAII_DASCMOP1_7_M2_D2_9.mat,0.536004379700777,0.536083570291285,0.528817309678657,0.565820789660755,0.536210192261675,0.520994115406427,0.286489391932755,0.587838616434682,0.541434516872832,0.67205660949652,0.550886389222933,0.825333408977171,0.537137188671992,0.921378533285687,0.584177292680526
NSGAII_DASCMOP1_8_M2_D2_9.mat,0.528776106841092,0.510542850987847,0.465541472351528,0.511198356944576,0.547214353507066,0.515514226283411,0.229706979654596,0.566347220099607,0.535591380054396,0.677136029440977,0.54092312892243,0.774218578287137,0.566418809811478,0.869363689441902,0.515820840556718
NSGAII_DASCMOP1_9_M2_D2_9.mat,0.498884873997756,0.487887176978348,0.426493720581235,0.495889810503243,0.500988613862377,0.517161247261813,0.244647733542814,0.537764730969832,0.49183996646941,0.783438694752315,0.543342371112253,0.754065554610548,0.571373531802434,0.850084365617925,0.508346092047301
NSGAII_DASCMOP2_10_M2_D2_9.mat,0.874128224616082,0.850000844404862,0.737573935739816,0.909335021512787,0.932187802204742,0.93219460018532,0.441947173469852,0.934482897752032,0.750751714639693,0.659739909761835,0.793097089750499,0.930601680810025,0.825000577286978,0.926706055271522,0.912586879141659
NSGAII_DASCMOP2_11_M2_D2_9.mat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSGAII_DASCMOP2_12_M2_D2_9.mat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSGAII_DASCMOP2_13_M2_D2_9.mat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSGAII_DASCMOP2_14_M2_D2_9.mat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSGAII_DASCMOP2_15_M2_D2_9.mat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
