Instances,Source,feature_corr_cf,feature_f_mdl_r2,feature_dist_c_corr,feature_min_cv,feature_bhv_avg_rws,feature_skew_rnge,feature_piz_ob_min,feature_ps_dist_iqr_mean,feature_dist_c_dist_x_avg_rws,feature_cpo_upo_n,feature_cv_range_coeff,feature_corr_obj,feature_dist_f_dist_x_avg_rws,feature_cv_mdl_r2,algo_NSGAII,algo_ECNSGAII,algo_PECNSGAII,algo_SRNSGAII,algo_DCMOEAD,algo_ECMOEAD,algo_PECMOEAD,algo_SRCMOEAD,algo_ANSGAIII,algo_CTAEA,algo_CMOEA_MS,algo_ToP,algo_CCMO,algo_PPS,algo_MOEADDAE
C1_DTLZ1_d2,C_DTLZ,1.10228612176069,-0.534558511247856,-0.515122848987799,1.77701505243151,-0.933009582560183,0.604880324128742,1.46065520605176,-1.17607529033866,1.78104652065001,-0.557267339049284,1.60247778006682,0.300305359367424,1.81054288621677,-0.938811777478609,0.998796492812177,0.998790456865493,0.998824553808816,0.998826250605996,0.999708735993275,0.999717257994213,0.998789757333323,0.998717539564836,0.998888416097667,0.999838047359115,0.999535735411454,0.55629742842381,0.999733075103083,0.997922963407456,0.99877365127737
C1_DTLZ3_d2,C_DTLZ,-0.750893654640487,-0.393341711564022,-0.542180458322157,-0.606700700489258,-0.93156871794664,0.531046784853425,1.15002675917292,0.467919906233977,1.4695965063984,1.00374602764495,1.29665902686682,0.468262045978381,1.461472699028,-0.94006669540589,0.82438102860425,0.835524678387229,0.827292097686234,0.817925216304531,0.892729988880104,0.893889325022136,0.868326861456885,0.87113764670602,0.683429669340509,0.873726975999442,0.977029136242164,0.772786029365629,0.977390188232382,0.581646251201751,0.858443571604058
C2_DTLZ2_d2,C_DTLZ,-0.292888081586533,0.83060182424551,-0.568349234555163,-0.606700700489258,-0.414125461118212,0.696299760787003,-1.15570898147135,0.616101451266508,-1.40893983202452,1.03044271371225,-1.07529835838993,-1.17366217573889,-0.850399513768639,-0.969228577620895,0.600556122773011,0.602631358531615,0.592614405444284,0.585863020016903,0.907872640101566,0.907968860347636,0.736650963737391,0.716282352000808,0.753901748756797,0.870798023605142,0.936127462087432,0.506883117818883,0.939040417982019,0.367093898958149,0.716091841801167
C3_DTLZ4_d2,C_DTLZ,-0.444506196171248,0.648940861946285,1.39015731206926,-0.125720613551023,1.72231056897228,1.89263937776734,-1.27011733606536,-1.17607529033866,-0.915474281116536,-1.17161640945548,-0.859151702502834,-1.58092115644485,-0.599671625321135,1.16628355050927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DASCMOP1_10_d2,DASCMOP1,-0.270937098629578,1.28509297663201,-0.585645750210735,-0.574391332453759,1.5179774583496,0.255286752743975,-0.583739182484749,0.108260148805739,0.153007606240427,-1.31707608216588,-0.849397773662878,-1.56343989616339,-0.837984518157828,-0.955338379363554,0.397234569300329,0.402001016208521,0.463274647460912,0.442385717632844,0.439123387661564,0.369532377130042,0.26800133459002,0.461450960681874,0.412435921615752,0.472746491203129,0.405183484855495,0.655787793265295,0.447472131475705,0.720681135787525,0.883591246078831
DASCMOP1_11_d2,DASCMOP1,-1.13473959464332,1.28509297663201,0.997074997796334,1.46417707119122,1.50373189808769,0.255286752743975,-1.26351650638702,-1.17607529033866,-0.466935051435943,-1.3325426324492,-0.63782767935752,-1.56343989616339,-0.837984518157828,0.940125080274618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DASCMOP1_12_d2,DASCMOP1,-1.1493938886348,1.28509297663201,1.04164631206913,1.46861773971217,1.50212906137965,0.255286752743975,-1.2648355158422,-1.17607529033866,-0.41994875032992,-1.3325426324492,-0.549407110847185,-1.56343989616339,-0.837984518157828,0.891899380488047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DASCMOP1_13_d2,DASCMOP1,-1.1685238495686,1.28509297663201,1.0955301819046,1.4801991873493,1.50205358160955,0.255286752743975,-1.26714517328733,-1.17607529033866,-0.40519910003808,-1.3325426324492,-0.510468828088767,-1.56343989616339,-0.837984518157828,0.853457012128536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DASCMOP1_14_d2,DASCMOP1,-1.17002410254528,1.28509297663201,1.04146535527623,1.467511848348,1.50147770226686,0.255286752743975,-1.26384620458127,-1.17607529033866,-0.40126450400048,-1.3325426324492,-0.505336589844995,-1.56343989616339,-0.837984518157828,0.860298207539247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DASCMOP1_15_d2,DASCMOP1,-1.17998721536293,1.28509297663201,0.994610131340935,1.45173247901903,1.50178788106408,0.255286752743975,-1.26417593888568,-1.17607529033866,-0.402282637075567,-1.3325426324492,-0.489061166324029,-1.56343989616339,-0.837984518157828,0.878815565125844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
