sup_avg,inf_avg,inc_avg,lnd_avg,uhv_ss_avg,nuhv_avg,uhvd_avg,hv_ss_avg,nhv_avg,hvd_avg,bhv_avg,length_avg
0.6466910449655581,0.3533089550344419,0.316001631131303,0.316001631131303,0.35259328165531484,0.36269984980838704,0.01010656815307218,,,,,5.866666666666666
0.6563351065406147,0.3436648934593852,0.23496789390879524,0.23496789390879524,0.2951260261242458,0.3038111751611789,0.008685149036933126,,,,,9.266666666666667
0.6621940810512238,0.33780591894877604,0.3143262514744307,0.3143262514744307,0.32196829918387276,0.3320054417603578,0.010037142576485062,,,,,6.033333333333333
0.6397172636704657,0.36028273632953434,0.23488395339380558,0.23488395339380558,0.33478843842455674,0.3463509983059827,0.011562559881425963,,,,,4.366666666666666
0.674055880816085,0.32594411918391514,0.3221133434781394,0.3221133434781394,0.3557338623211787,0.36620721529275674,0.010473352971578037,,,,,2.933333333333333
0.7135259260468719,0.28647407395312807,0.3884045633414131,0.3884045633414131,0.36601564096944467,0.3764536806339784,0.010438039664533681,,,,,7.866666666666666
0.6618959068562242,0.33810409314377565,0.316481041494269,0.316481041494269,0.2827366555788341,0.2907732188386363,0.008036563259802178,,,,,3.6666666666666665
0.6095125494269839,0.39048745057301604,0.31972681813286513,0.31972681813286513,0.33225675749790606,0.34208186145178243,0.009825103953876329,,,,,5.566666666666666
0.7023773159160063,0.29762268408399356,0.3575289574843147,0.3575289574843147,0.30880489863264937,0.3149111851296008,0.006106286496951446,,,,,4.333333333333333
0.6895629420432091,0.31043705795679066,0.3034024269133184,0.3034024269133184,0.3578291831598289,0.3725228625171181,0.014693679357289149,,,,,6.466666666666667
