scr,fsr,corr_obj_min,corr_obj_max,corr_obj_range,skew_avg,skew_min,skew_max,skew_rnge,kurt_avg,kurt_min,kurt_max,kurt_rnge,mean_uc_rk,std_uc_rk,min_uc_rk,max_uc_rk,skew_uc_rk,kurt_uc_rk,mean_cv,std_cv,min_cv,max_cv,skew_cv,kurt_cv,piz_ob_min,piz_ob_max,piz_ob_f,PFd,PFCV,PS_dist_max,PS_dist_mean,PS_dist_iqr,PF_dist_max,PF_dist_mean,PF_dist_iqr,hv_est,uhv_est,hv_uhv_n,GD_cpo_upo,upo_n,po_n,cpo_upo_n,cover_cpo_upo_n,dist_c_corr,corr_obj_cv_min,corr_obj_cv_max,corr_obj_uc_rk_min,corr_obj_uc_rk_max,corr_cv_ranks,rk_uc_mdl_r2,rk_uc_range_coeff,cv_mdl_r2,cv_range_coeff,H_max,eps_s,m0,eps05
0.0,0.03488,-0.8501188061024796,0.626678257974005,-1.4767970640764845,-1.167676499260035,-5.614768903355825,3.804882398992182,9.419651302348006,19.3045882021358,-0.20714906365938424,54.38573436830515,54.59288343196454,1.6608,0.8665237215448865,1,7,1.4123700937825387,2.253030923204359,0.00019286285283660589,0.009587896132537882,0.0,1.0544902528769502,106.88328725529973,11702.714695673296,8e-05,0.982,0.168912,0.15056930571275418,0.00019923963103377496,2.5750535007645454,1.6515262594969518,0.3203017763496898,0.5540161370565093,0.17443168114152546,0.13472721730383785,0.029149022796017103,0.08093832687407503,0.36013868734113513,0.00245430555608886,0.5424,0.02616,0.048230088495575224,0.041002949852507374,0.20183511313273467,-0.26858618840461007,0.35269156084961106,0.0,0.20881046443286952,0.9036353250436594,0.12752124671871712,-0.04628475331134607,-3.716759769489819e-05,5.227715852101575,0.7990205197211857,0.4454454454454452,0.6521843494959193,-1.7367367367367363
0.0,0.03408,-0.8536216333577038,0.6368416241379946,-1.4904632574956984,-0.8877598027924597,-4.624791403360422,4.322970721340606,8.947762124701027,17.00636174496149,-0.25196541739042955,35.533401432527526,35.785366849917956,1.64936,0.8522978296346883,1,7,1.3786646513775336,1.9682633828286562,0.00012494641494747888,0.002164901630684399,0.0,0.17027747482865263,61.80460468949347,4373.95274575145,8e-05,0.98352,0.169984,0.14199557916177818,0.00016656409239250834,2.6648788279269993,1.674118935568697,0.31864284668034304,0.6250945764416418,0.16858986675543652,0.12522213956075362,0.024205651188759704,0.07415532203917038,0.32641825998643464,0.0015987323848527975,0.54544,0.02536,0.04649457318861836,0.041654444118509826,0.17814511548522918,-0.2792360146826436,0.3657083596985221,0.0,0.21873693894616608,0.9023277800760292,0.1328094884376284,-0.05001866623768747,0.001855104494709714,0.6871471662679598,0.8017941400273739,0.4454454454454452,0.6529844775164027,-1.7567567567567566
0.0,0.03256,-0.8476306021115565,0.630965447388707,-1.4785960495002635,-1.0583488318605228,-5.179361215723655,3.989667660550518,9.169028876274172,17.612814608901857,-0.1957747548815778,42.793389671796675,42.98916442667825,1.66032,0.8713079235264649,1,7,1.4227929928444973,2.17800410190163,0.0001599483906665977,0.003126373429130811,0.0,0.1902805587154229,48.484989494239294,2634.036538710469,0.00024,0.98576,0.1692,0.15047657269461223,0.00017287207782561406,2.6133914418830857,1.630011760836758,0.3186739938877239,0.6192103144028287,0.17730818652351765,0.13220959553792386,0.024719896757480736,0.0783375141715184,0.315556308097255,0.002039401847462972,0.54408,0.02336,0.042934862520217616,0.03822967210704308,0.1811715720830158,-0.27838370017247915,0.37082737008614386,0.0,0.20331188669835004,0.9039113253988261,0.12733092456085127,-0.07887772969443874,0.0014838326427381032,0.19517430091539256,0.800264467503808,0.4454454454454452,0.6535445671307409,-1.7367367367367363
0.0,0.03656,-0.860638747853289,0.6391743833690522,-1.499813131222341,-1.0942733168790728,-5.545200076194989,4.037760964695368,9.582961040890357,19.04425076193553,-0.19528395772684526,47.7615169063755,47.95680086410234,1.6472,0.8537986647916476,1,7,1.4004221567871356,2.0963665277453742,0.0001897150109810952,0.009116135032120208,0.0,0.9971320919538449,105.20113049914924,11448.47707671193,0.00032,0.98832,0.170176,0.14417541011056972,0.00014118117512772432,2.6230920696908813,1.6513717744893341,0.3163529929882096,0.656196215802474,0.17304578609566015,0.1261562032939811,0.02764016855277807,0.0776052500025447,0.35616364294776115,0.002396263945659911,0.54744,0.02728,0.049831945053339176,0.04340201665935993,0.2016155750164621,-0.28720496279864915,0.365689622841173,0.0,0.2073998260902915,0.9051932312236847,0.12544757739290247,-0.10918099154572958,0.0003549818707654362,6.210635312166082,0.7993157063046483,0.34534534534534517,0.656745079212674,-1.7367367367367363
0.0,0.03696,-0.8530800019871289,0.6374447067955502,-1.490524708782679,-1.1327926483249378,-5.266063746751559,3.7462261742865226,9.012289921038082,17.343681962127544,-0.21800158571013029,45.11418935960349,45.33219094531363,1.66248,0.858324093568391,1,6,1.32235408409197,1.5863184573508518,0.0001164869792820609,0.001546058859056416,0.0,0.08381347518566205,38.68836160280891,1768.1407648987438,0.00016,0.97768,0.169088,0.1514771028456172,0.00022084225939675924,2.6958168060003893,1.6757860069700357,0.31874954230099717,0.6100151534460373,0.1754399560691806,0.13530183720068317,0.030159299114761985,0.0769880680271673,0.39173991356841775,0.0017632559181456529,0.53856,0.0268,0.04976232917409388,0.04486036838978016,0.20183709326589383,-0.2733278382841804,0.36349054630721556,0.0,0.22376890941503255,0.9004441358684647,0.13377384344646048,-0.04256302211536189,0.0011799106604820642,-0.1342643025989192,0.8034439852362786,0.34534534534534517,0.6475436069771163,-1.7567567567567566
0.0,0.03496,-0.8534314083760227,0.638311405491657,-1.4917428138676798,-1.3015710395335653,-7.11825834847062,4.523810374015883,11.642068722486503,31.84428122088277,-0.17811319311362261,104.6647404305377,104.84285362365132,1.6756,0.8860500211613338,1,7,1.4332201693623388,2.4063691805591727,0.00014547184045487604,0.004335958064755231,0.0,0.34769334792524337,73.213948218931,5596.3026450906245,8e-05,0.98864,0.167568,0.15114608632467166,0.00015176890367522093,2.6559651971452225,1.647934025134963,0.3173366208017041,0.6062504157393045,0.17421519691992504,0.13347954791190425,0.02814775720567273,0.08050565778346769,0.34963700664840774,0.0020555639454754105,0.5396,0.02688,0.04981467753891772,0.04418087472201631,0.21665343985844598,-0.2643738866102313,0.36893980724327124,0.0,0.23904751657904738,0.8979428597217333,0.13155481947789083,-0.045113075404873415,-6.229377359501242e-05,-0.7085872445321888,0.7976453235281816,0.34534534534534517,0.6478636581853097,-1.7567567567567566
0.0,0.032,-0.8551720854496906,0.6353692615854674,-1.4905413470351578,-1.194279847341494,-5.6800308793054874,3.793982966880133,9.47401384618562,19.004078792941705,-0.16758163732472386,52.56938976417909,52.736971401503816,1.67752,0.8731131940361455,1,7,1.3020498528102684,1.528156588674336,0.00011174026948898068,0.0022249013114280093,0.0,0.22547258777565427,85.76462023975058,8466.140979045556,0.00032,0.9776,0.16728,0.15020747635420612,0.00017526080952351853,2.5839562414089445,1.6683977582971292,0.32128686374146254,0.5893256913040565,0.17833284893623783,0.13406145195532956,0.026181918637777673,0.08007330622339706,0.3269743672720664,0.0027316237216296916,0.53552,0.02488,0.0464595159844637,0.038691365401852404,0.20260511320339605,-0.2854724307343,0.3542440344520537,0.0,0.2218208823560504,0.8965823817547369,0.13682499411957616,-0.01172401263158751,0.0002183877572893289,-0.03541041373391596,0.8004128172017708,0.32532532532532515,0.6552248359737558,-1.7367367367367363
0.0,0.03072,-0.8547367528630611,0.6425426714622893,-1.4972794243253502,-1.1264235752109442,-5.877179303868343,4.248626822656429,10.125806126524772,21.680572078636654,-0.19519502126256816,58.582382782713694,58.777577803976264,1.67312,0.8630350315021981,1,6,1.297384580803504,1.5679246903098996,0.00010909799595466652,0.0013761086022596953,0.0,0.08537245983562644,45.086676237903845,2484.026564526977,0.00024,0.98792,0.167712,0.14785745562494976,9.577687851372081e-05,2.515054497551649,1.6509143886363113,0.30757542141857974,0.7022568622245129,0.17466503940540407,0.13207063864549862,0.03103278398847004,0.07735202631665104,0.4011890245955952,0.0030964539338306897,0.534,0.0224,0.041947565543071164,0.03430711610486891,0.19006725333834762,-0.27648106184889404,0.3610978083818837,0.0,0.207069522247497,0.8969521303368748,0.1206209682651872,-0.046844635026725534,0.0005589086832805679,-1.6934228605505637,0.7964048047478363,0.40540540540540526,0.6497039526324212,-1.7367367367367363
0.0,0.03312,-0.8536265915341892,0.6379764982920737,-1.4916030898262629,-1.080817713779807,-5.41663092285874,3.949408723014983,9.366039645873723,20.33299962783345,-0.217649793747837,55.45033336661051,55.66798316035835,1.6776,0.8735549438930559,1,6,1.3564480403701709,1.8581125240157368,0.0001645360825946744,0.003248650239544142,0.0,0.20956950449587003,49.246086553359845,2734.3340954267387,8e-05,0.99072,0.167856,0.1553556763918966,0.0002651937924719577,2.687649593468974,1.6467431049454673,0.315739583003789,0.5699155705654795,0.17367186622315747,0.12320389130766132,0.026634774220748857,0.07841330471634901,0.339671619721896,0.002740441786455863,0.53264,0.02408,0.04520877140282367,0.03844998498047462,0.22289290939506068,-0.2738071976141016,0.3692203955506591,0.0,0.220152144858877,0.8958141034549909,0.1316646394027411,-0.021456840538991107,0.0009354896806523794,-1.8850203036245496,0.8020373430328324,0.4654654654654652,0.6541046567450792,-1.7367367367367363
0.0,0.03608,-0.8532666053247968,0.6373529698892351,-1.4906195752140319,-1.1256955132084436,-5.518926982702441,3.8043501018191392,9.32327708452158,17.860709609157286,-0.1768142654611089,50.06023465902743,50.23704892448854,1.66104,0.8725514989959047,1,7,1.4161112068376063,2.1721243166964976,0.00017635804790583698,0.0066651008444932784,0.0,0.6339674776832749,83.20838750039952,7343.1848740810565,0.0004,0.97952,0.168768,0.14863972777321158,0.0006090423420893475,2.603572693197293,1.6554494036167209,0.3192441643963504,0.6698340691887328,0.1827472373668875,0.13811366241350204,0.03272179560462585,0.07639184466513553,0.4283414773928053,0.002925029640079417,0.54512,0.02792,0.05121808042265923,0.041972409744643384,0.18745899775703356,-0.28423813039673107,0.35896736600724943,0.0,0.21634321617936353,0.9017632075540908,0.1208959301212893,-0.03574486176181224,-5.9663186407599156e-05,2.757471007231537,0.7949265056681797,0.34534534534534517,0.6473835813730197,-1.7367367367367363
