sup_avg,inf_avg,inc_avg,lnd_avg,uhv_ss_avg,nuhv_avg,uhvd_avg,hv_ss_avg,nhv_avg,hvd_avg,bhv_avg,length_avg
0.771797458685667,0.21935327130419488,0.033239513912577234,0.02439024390243903,0.1995919766017678,0.2109199904016039,0.01132801379983611,0.17069518226811228,0.17556328811191438,0.00486810584380204,0.17556031445788306,28.58
0.7621918080875209,0.2283763998136758,0.03382203600124222,0.02439024390243903,0.17349789886275022,0.18300763766527484,0.009509738802524603,0.18087427558101082,0.1854407566593608,0.004566481078349971,0.18543010425207718,28.22
0.7488229262148464,0.23479782681068825,0.040769490876904325,0.02439024390243903,0.16760651598003282,0.1767151888120266,0.009108672831993878,0.19186994548443267,0.1985904481308178,0.006720502646385119,0.19859043125990086,26.34
0.7683173798882917,0.22093459940179255,0.03513826461235505,0.02439024390243903,0.184754411695471,0.1956574599721551,0.01090304827668418,0.17984262722362118,0.1851887989468164,0.005346171723195204,0.18518879299932306,24.82
0.7537308850385384,0.23298863219617127,0.037670726667729346,0.02439024390243903,0.1917292886339207,0.20383688555664844,0.012107596922727696,0.16225395213362737,0.16766925436147564,0.005415302227848241,0.16764801537697244,27.41
0.7687015443354557,0.22395114037362002,0.03173755919336344,0.02439024390243903,0.19638043137435957,0.20899281076080092,0.012612379386441391,0.19766612395373417,0.2033235976462525,0.005657473692518317,0.20320245884483826,23.46
0.7519649259658887,0.23841188784746004,0.03401343008909022,0.02439024390243903,0.1866864005984282,0.19848783935814981,0.011801438759721568,0.18791812392107396,0.1944019476738767,0.006483823752802716,0.1943046314057316,25.87
0.7722917170955952,0.222449765653134,0.029648761153709947,0.02439024390243903,0.19088241147461132,0.20319307379365256,0.012310662319041165,0.20237466827054773,0.20659788171184798,0.004223213441300252,0.20659322332445088,30.06
0.7618518056037202,0.23300420040092,0.029534237897798698,0.02439024390243903,0.1905528059185227,0.20553646792902158,0.014983662010498923,0.14818687626060006,0.152835879053732,0.00464900279313189,0.15283102775113105,26.7
0.757530525338327,0.2347325285511651,0.03212719001294677,0.02439024390243903,0.1765649671383163,0.1885243431880098,0.011959376049693517,0.14627400499399903,0.15170567511500455,0.005431670121005569,0.15169343823148496,29.09
